date,label,confidence,entity-label,entity-confidence
11112012,neu,0.99980201,neu,0.72145115
11112012,neu,0.98884084,neu,0.84288865
11122012,neg,0.65773014,neg,0.88940521
11122012,neu,0.52829627,neg,0.89841561
11122012,neu,0.99862225,neu,0.73448604
11122012,neu,0.95748467,neg,0.57623411
11012012,neu,0.97261843,neu,0.80354586
11012012,neu,0.96808907,neg,0.56570633
11012012,neu,0.95188204,neg,0.58205964
11132012,neu,0.99839168,neg,0.69704734
11132012,neg,0.74374655,neg,0.87036797
11132012,neu,0.57708666,neg,0.87231829
11132012,neu,0.99528436,neg,0.85519561
11132012,neu,0.77515385,neg,0.59389589
11162012,neu,0.99989767,neg,0.88365913
11162012,neu,0.86217837,pos,0.51050957
11162012,neu,0.99964266,neg,0.89884856
11162012,neu,0.91240548,neg,0.63400461
11162012,neu,0.96279433,neg,0.47523586
11162012,neu,0.98347629,neu,0.5032462
11192012,neu,0.99536667,neu,0.64282373
11192012,neu,0.99651582,neu,0.7465992
11192012,neu,0.9344543,neg,0.4448548
11202012,neg,0.49054208,neu,0.71638456
