date,label,confidence,entity-label,entity-confidence
6112015,neu,0.9829647,neu,0.65518828
6112015,neu,0.94706279,neu,0.42552025
6112015,neu,0.99860855,neu,0.9785386
6112015,neu,0.99791265,neu,0.98408311
6112015,pos,0.79265056,pos,0.57521223
6112015,neu,0.99278463,neu,0.98408311
6162015,neg,0.47527984,pos,0.48746946
6172015,neu,0.91386883,,
6172015,neu,0.89625955,neg,0.48298565
6172015,neu,0.86974164,neg,0.57042983
6182015,neu,0.99486116,neu,0.96810803
6182015,neu,0.50214248,,
6182015,neu,0.50214248,,
6182015,neu,0.99333719,neu,0.89422472
6222015,pos,0.58569398,pos,0.92875661
6222015,pos,0.58569398,pos,0.92875661
6182015,neu,0.97824336,neu,0.76443231
6182015,neu,0.97823356,neu,0.76443231
6182015,neu,0.97823356,neu,0.76443231
6232015,pos,0.70941124,pos,0.91801783
6242015,neu,0.6885177,pos,0.47135901
6252015,neg,0.9428995,neg,0.56536319
6262015,neu,0.85556803,neg,0.686612
6252015,neg,0.50869373,,
6252015,pos,0.51951814,pos,0.90165882
6252015,pos,0.84762619,pos,0.86079538
6252015,neu,0.99555652,pos,0.53156531
6252015,neu,0.83164656,,
6252015,neu,0.86046494,,
6302015,neu,0.62843839,neu,0.62057807
6302015,pos,0.46908179,pos,0.57176745
6302015,neg,0.82552985,neg,0.67741663
6302015,neu,0.99929765,neu,0.99074809
6302015,neu,0.99792176,neu,0.99402193
6302015,neu,0.55604423,neu,0.53147328
7012015,neu,0.6949254,neg,0.56419399
6302015,neu,0.99431118,neu,0.87803177
6302015,neu,0.62419018,pos,0.57786197
7062015,pos,0.55229048,pos,0.68876763
7092015,neu,0.92071798,neu,0.72502913
7092015,neg,0.51212234,,
7082015,neu,0.57790413,neu,0.66728435
7082015,neg,0.75913666,,
7082015,neg,0.76651499,,
7082015,neu,0.92693164,neu,0.5005011
7082015,neu,0.8673607,neu,0.59481588
7082015,neu,0.93447208,neu,0.80682391
7082015,neu,0.5735735,,
7112015,neu,0.95884823,neg,0.48769976
7132015,neu,0.96850099,neg,0.48769976
7132015,neu,0.90234278,neg,0.46638136
7082015,neu,0.52446592,neu,0.92222455
7082015,neu,0.96599318,neu,0.89490941
7142015,neu,0.99456824,neu,0.4368208
7142015,neg,0.71981777,neu,0.64998788
7152015,neu,0.8514632,neu,0.97023028
5312015,neg,0.64173976,neu,0.50099712
5312015,neg,0.5517771,neu,0.50099712
5312015,neg,0.92248102,neu,0.86640119
7162015,neu,0.75476037,,
7162015,pos,0.50562764,neu,0.68584783
7162015,neg,0.78421751,neu,0.51745597
7162015,neg,0.52872817,pos,0.44086992
7162015,neu,0.94260641,neu,0.55726074
7162015,neg,0.87478788,neg,0.65632223
7222015,neg,0.99271095,neu,0.58747785
7222015,neu,0.95206192,neg,0.73210889
7222015,neu,0.93927701,neu,0.62261096
7222015,neu,0.99914562,,
7222015,neu,0.99911614,,
7222015,neu,0.98541269,neu,0.51040281
7222015,neg,0.99344116,neg,0.56946505
7232015,neu,0.73372887,neg,0.69169639
7232015,neu,0.66218251,neg,0.72011883
7232015,neu,0.72253982,neu,0.80299203
7232015,neu,0.99822735,pos,0.56758327
7232015,neu,0.99657401,,
7242015,neg,0.97368099,neg,0.84032518
7242015,neg,0.46274595,neg,0.71311037
7242015,neu,0.91075942,neu,0.48763355
7202015,neu,0.6889685,,
7202015,neu,0.9881099,neu,0.52190722
7202015,neu,0.99885058,,
7272015,pos,0.53628828,,
7272015,pos,0.4646596,pos,0.69708195
7282015,neu,0.9874076,,
7282015,neu,0.94495399,,
7212015,neg,0.99441111,neg,0.84316072
7212015,neg,0.97100996,neg,0.45848037
7212015,neg,0.99356806,neg,0.84113318
7212015,neg,0.92834278,neg,0.59270321
7212015,neg,0.84580018,neu,0.62443125
7302015,neg,0.58143762,neu,0.40938186
7302015,neg,0.76444957,neg,0.59268356
7302015,neg,0.75056561,neu,0.75190116
7302015,neu,0.99556247,neg,0.47266913
7222015,neu,0.99639431,neu,0.5112859
7222015,neu,0.72746815,neu,0.65111987
7232015,neg,0.50951923,neg,0.82392246
7202015,neu,0.99906891,,
7212015,neg,0.87346513,neu,0.63794264
7212015,neu,0.95663201,neu,0.6825558
7212015,neu,0.92060197,neg,0.34149559
7212015,neu,0.74509984,neg,0.45797191
7302015,neu,0.80874507,pos,0.43821814
7302015,neu,0.73274961,pos,0.43821814
8022015,neu,0.9933399,neu,0.86069499
8032015,neu,0.6910392,,
8032015,neu,0.54452326,neg,0.48711566
8032015,neg,0.67304584,neg,0.48711566
8032015,neu,0.78378502,neu,0.515339
8042015,neg,0.99755278,neg,0.88146787
8042015,neu,0.95213441,neu,0.84305567
8042015,neu,0.92642837,neu,0.86243381
8042015,neu,0.93649604,neu,0.90457918
8042015,neu,0.78866209,neu,0.78010671
8042015,neg,0.96742076,,
8042015,neu,0.99235854,neu,0.6856539
8042015,neg,0.95176637,neg,0.79727044
8042015,neg,0.90217497,neu,0.69018444
8062015,pos,0.54959807,neu,0.70290889
8062015,neu,0.74919659,pos,0.63055688
8062015,neu,0.76535337,pos,0.54795257
8062015,neu,0.62474484,,
8062015,neg,0.7616154,neg,0.72721575
6312015,neu,0.6949254,neg,0.56419399
8082015,neu,0.95573075,,
8082015,neu,0.78223843,,
8122015,neg,0.7842154,pos,0.50914436
8122015,neg,0.70708659,pos,0.37415215
8112015,neu,0.44458774,neg,0.64359633
8112015,neu,0.98719938,neu,0.95555864
8132015,neu,0.41589441,,
8132015,neu,0.79272719,neu,0.91890667
8132015,neg,0.49687827,neg,0.70510601
8132015,neu,0.69648031,,
8132015,neu,0.48868763,neg,0.55642808
