date,label,confidence,entity-label,entity-confidence
7192017,neu,0.9905702,neu,0.95811123
7192017,neu,0.91319213,,
7192017,neu,0.91319213,,
7192017,neu,0.54572194,pos,0.73094723
7192017,neu,0.54572194,pos,0.73094723
7192017,neu,0.51426127,neg,0.6329064
7192017,neu,0.58679906,neu,0.95791191
7192017,neu,0.57090858,,
7212017,neg,0.64237006,neg,0.48070545
7212017,neg,0.83241854,neg,0.90960794
7202017,neu,0.91931508,neg,0.5343803
7202017,neg,0.67781401,neg,0.92203976
7202017,neg,0.67449912,neg,0.92203976
7202017,neu,0.99864594,neu,0.49953554
7242017,neu,0.62548544,,
7242017,neu,0.64781175,neu,0.66851232
7242017,neu,0.64781175,neu,0.66851232
7252017,neu,0.98858422,,
7252017,neu,0.81491536,neu,0.43082908
7252017,neu,0.9554944,neg,0.41242693
7252017,neu,0.62548544,,
7262017,pos,0.53055686,,
7302017,neg,0.98292044,,
7282017,neu,0.99052688,pos,0.54761227
7282017,neu,0.99214492,,
7282017,neu,0.99214492,,
7282017,neu,0.4378793,,
7272017,neu,0.99841385,,
7272017,neg,0.82969943,,
7272017,neu,0.81727542,neu,0.88403789
7272017,pos,0.69588076,neu,0.66777572
7272017,neu,0.81727542,neu,0.88403789
7272017,neu,0.57607393,pos,0.8588333
7272017,neu,0.5003879,pos,0.42539647
7312017,neu,0.830876,,
7312017,neg,0.87767559,neu,0.50375267
7312017,neg,0.83455519,,
7312017,neu,0.96420623,neg,0.43209963
8012017,neu,0.9164584,neu,0.92828563
8012017,neu,0.822271,neu,0.95594324
8012017,neu,0.59380093,,
8022017,neg,0.9046623,neg,0.67990149
8022017,neu,0.9827418,neu,0.85459784
8022017,neg,0.92507596,,
8022017,neg,0.5404126,pos,0.64841377
8022017,neg,0.5404126,pos,0.64841377
8022017,neu,0.95093413,neu,0.64606656
8022017,neu,0.68992248,neg,0.47330345
8022017,neg,0.73913733,,
8022017,neu,0.97764721,pos,0.71340494
8032017,neu,0.9827418,neu,0.85459784
8032017,neu,0.97277684,neg,0.6991438
8032017,neu,0.9804572,neg,0.61776107
8042017,neg,0.96725797,neu,0.5547247
8042017,neu,0.73860188,,
8042017,neg,0.94601688,neu,0.75733712
8042017,neu,0.99970922,pos,0.57653141
8042017,pos,0.89833195,pos,0.60388189
8072017,neu,0.46949009,neu,0.82091566
8072017,neu,0.6257608,,
8072017,neu,0.6257608,,
8072017,neu,0.99908436,pos,0.57653141
8072017,neu,0.49161818,neu,0.46132507
8082017,pos,0.88429291,neg,0.77809604
8082017,pos,0.88429291,neg,0.77809604
8082017,neu,0.97379707,neu,0.83826079
8082017,neu,0.99894886,neu,0.55880937
8092017,neu,0.87966762,,
8092017,neg,0.92461867,neg,0.61532322
8102017,neg,0.62153748,,
