date,label,confidence,entity-label,entity-confidence
2012012,neu,0.95641947,,
2012012,neu,0.93883311,neu,0.88332825
2012012,neg,0.50704237,neu,0.63894263
1312012,neu,0.97509796,,
2022012,neu,0.90164347,,
2062012,pos,0.94244689,,
2032012,neu,0.83656345,neg,0.49309354
2072012,neu,0.9757363,,
2072012,neu,0.96503949,,
2142012,neu,0.60657066,pos,0.49940703
2142012,neu,0.68866503,neg,0.45676289
2212012,neu,0.97982249,,
2212012,neg,0.63974482,,
3062012,neu,0.83445822,pos,0.67279434
3202012,neu,0.8948168,neu,0.60139846
3202012,neu,0.92966513,pos,0.41164289
3192012,pos,0.66584981,,
3212012,neu,0.81568136,,
3272012,neg,0.81573681,neg,0.52614507
3272012,pos,0.97634271,neg,0.51637816
3272012,pos,0.98728334,neg,0.60285924
3272012,pos,0.5613205,,
3272012,pos,0.49567614,,
4032012,pos,0.94861179,,
4032012,pos,0.87775101,,
4032012,neu,0.82776101,,
4032012,neu,0.93913308,pos,0.39660544
4112012,neu,0.999991,neu,0.7669341
4122012,neu,0.95640171,neg,0.7673245
4262012,neu,0.99758926,,
4262012,neg,0.99905784,neu,0.70195918
4262012,neg,0.99773205,neu,0.61338593
4262012,neu,0.99553014,,
4262012,neu,0.95120859,,
4262012,neu,0.99997694,neu,0.82802321
4262012,neu,0.99997976,neu,0.76143916
4262012,neu,0.99605625,neu,0.69086022
4272012,neu,0.54609399,neu,0.64956467
4272012,neu,0.82001345,,
4272012,neu,0.97646442,,
4272012,neu,0.99553014,,
4272012,neu,0.8853767,,
4272012,neu,0.61603167,,
4272012,neu,0.99117677,,
5032012,neu,0.99908465,neu,0.81928091
5032012,neu,0.99914829,,
5022012,neu,0.99430482,,
5022012,neu,0.69351948,,
5022012,neu,0.9758775,,
5022012,neu,0.9877365,,
5022012,neu,0.9054721,,
5022012,neu,0.8949387,,
5022012,neu,0.74332614,,
5042012,neu,0.40681993,,
5042012,neg,0.39574501,,
5042012,neu,0.99999746,,
5112012,neu,0.95842133,neg,0.53187412
5112012,neu,0.96633883,,
5102012,neu,0.87006679,,
5102012,neu,0.81096215,,
5102012,neu,0.84638921,,
5142012,neu,0.6745704,,
5142012,neu,0.68610389,,
5152012,neu,0.43120165,,
5232012,neg,0.69817853,,
5232012,neg,0.81306458,,
5302012,neu,0.69962036,,
5302012,neu,0.97334103,neu,0.6184752
6072012,neu,0.96450888,,
6072012,pos,0.83529613,pos,0.83250063
6072012,neu,0.99402981,,
6072012,neu,0.54988191,pos,0.80817263
6152012,neu,0.98120175,,
6252012,neg,0.4403404,,
6252012,neg,0.56466344,neu,0.85889331
6272012,neu,0.99589723,neu,0.91413819
6272012,neu,0.99593161,neu,0.93046057
6272012,neu,0.49677906,,
6272012,neu,0.59181319,,
6292012,pos,0.67958219,,
6282012,neg,0.54146402,,
6282012,neu,0.60513648,,
7022012,neu,0.78900364,,
7162012,neu,0.9961067,pos,0.60402212
7232012,neu,0.87665963,,
7232012,neu,0.93186615,,
7232012,neu,0.82535322,,
7232012,pos,0.96161062,,
7252012,pos,0.99327559,,
7252012,pos,0.99258004,,
7262012,neu,0.99851542,,
7262012,neu,0.82798741,,
7262012,neu,0.99925534,,
7262012,neu,0.81032801,,
7272012,neu,0.89495528,pos,0.35719439
7272012,neu,0.99990811,,
7272012,neu,0.99984072,,
8012012,neg,0.93872779,,
8012012,neu,0.98337056,,
8012012,neu,0.93959503,,
8012012,pos,0.42333039,,
8082012,neu,0.95327417,,
8172012,neg,0.78187566,neg,0.5174782
8162012,pos,0.46017191,,
8232012,pos,0.52001204,,
8232012,neu,0.68614627,,
8292012,neg,0.70544755,neu,0.49718101
8282012,neg,0.9684047,neg,0.7159619
8302012,neu,0.68734525,,
8302012,neu,0.62167543,,
8302012,neu,0.94424985,,
8302012,neu,0.84173344,,
8312012,neu,0.97404631,neu,0.52084666
8312012,neu,0.96725204,neu,0.91770028
9032012,neu,0.95470262,neg,0.39687938
9082012,pos,0.5629885,,
9082012,neg,0.38983344,,
9092012,neu,0.71919804,pos,0.51019168
9072012,neu,0.981417,,
9072012,neu,0.9432826,,
9062012,neu,0.98683972,,
9062012,neu,0.99814714,,
9062012,neu,0.59316884,,
9062012,neu,0.5231168,,
9062012,neu,0.92619118,,
9062012,neu,0.88606721,,
9062012,neu,0.62688444,neu,0.7380467
9062012,neu,0.76377611,neu,0.70053544
9062012,neg,0.50926112,neg,0.52707562
9212012,neg,0.581379,,
9252012,neu,0.88357499,neg,0.50380678
9252012,neu,0.91053942,neg,0.50380678
9262012,neu,0.99986801,,
9262012,neu,0.99999643,,
9282012,neu,0.99844634,neg,0.53215468
9262012,neu,0.99999548,,
9262012,neg,0.5090689,,
9262012,neg,0.65501081,,
9312012,neu,0.99854848,neu,0.96269612
9312012,neu,0.91540567,neu,0.88860435
9272012,neg,0.86097145,,
9272012,neu,0.99724956,neg,0.5233609
9272012,neu,0.9162843,,
9272012,pos,0.78862535,,
9272012,pos,0.71723667,,
10012012,neu,0.99854848,neu,0.96269612
10012012,neu,0.91540567,neu,0.88860435
10042012,pos,0.99938765,,
10042012,pos,0.99846259,,
10052012,neu,0.58073176,,
10052012,neu,0.93028489,,
10052012,neu,0.97393678,neu,0.70444665
10092012,pos,0.61631266,,
10092012,pos,0.59300079,,
10122012,neu,0.72142322,neu,0.98770507
10102012,neu,0.95327932,,
10102012,neu,0.99672443,,
10102012,neu,0.60076114,,
10102012,pos,0.70546745,,
10102012,neu,0.52080565,,
10102012,neu,0.53656722,,
10102012,neu,0.90957649,,
10152012,neu,0.67356762,neu,0.95321667
10152012,neg,0.96555801,neu,0.49886724
10152012,neu,0.80086579,neu,0.95764962
10152012,neg,0.97923736,neu,0.55802737
10152012,neg,0.54753716,neu,0.99024102
10152012,neu,0.9399802,neu,0.96455058
10152012,neu,0.98123519,neu,0.83512587
10152012,neu,0.93368093,,
10152012,neu,0.95295781,,
10162012,neu,0.5692974,,
10182012,neu,0.85826855,,
10182012,neu,0.96786906,,
10172012,neu,0.60908889,,
10172012,neu,0.55145861,,
10222012,neu,0.87290621,,
10232012,neu,0.89087559,,
10232012,neu,0.80851235,,
10232012,neu,0.90454485,,
10232012,neu,0.9952725,,
10232012,neu,0.99019495,,
10232012,neu,0.99842463,,
10232012,neu,0.99959733,,
10232012,neu,0.99995611,,
10252012,neu,0.96695387,,
10232012,neu,0.99959733,,
10252012,neu,0.82618218,,
10252012,neu,0.8892716,neu,0.88922386
10292012,neu,0.99999397,neu,0.44793112
10292012,neu,0.99997986,,
10242012,neg,0.47121957,,
10242012,neu,0.87248815,,
10262012,neu,0.99645463,neu,0.58037264
10262012,neu,0.98564216,,
10262012,neu,0.98905481,,
10262012,neu,0.97956062,,
10262012,neg,0.49208303,,
10262012,neu,0.99976289,,
10262012,neu,0.998264,,
10262012,neu,0.41280038,,
10262012,neu,0.99272633,neu,0.91352819
10312012,neg,0.64498865,,
11052012,neu,0.48964581,neg,0.95719333
11052012,neu,0.85275884,neu,0.69975428
11062012,neu,0.87116945,,
11062012,neu,0.99921107,neu,0.59575012
11082012,neg,0.66617361,,
11082012,neg,0.62174143,,
