date,label,confidence,entity-label,entity-confidence
1052012,pos,0.54460747,pos,0.57113739
1062012,neu,0.99008939,,
1062012,neu,0.98103904,pos,0.49121883
1052012,neg,0.62086973,pos,0.57113739
1112012,neg,0.57316798,,
1132012,neg,0.49429478,neu,0.40339307
1172012,neu,0.81733411,neu,0.97721458
1172012,neu,0.86299228,neu,0.98305626
1172012,neu,0.95660878,neg,0.46848778
1262012,neu,0.99661388,,
1302012,neg,0.48425888,,
1302012,neu,0.96375683,,
1302012,neg,0.9776315,,
1272012,neu,0.61793412,,
1272012,neu,0.7838537,,
1272012,neu,0.95495961,neu,0.62699339
1272012,neu,0.99125704,,
2032012,neu,0.99120466,,
2032012,neu,0.99973911,,
2032012,neu,0.98725155,,
2032012,pos,0.54801078,,
2062012,neu,0.90364408,,
2062012,neu,0.96892702,,
2062012,neg,0.48868581,,
2092012,neu,0.57502863,neu,0.76770761
2082012,neu,0.97622189,,
2092012,neg,0.70536615,,
2092012,neu,0.84264523,,
2082012,neu,0.98776352,neu,0.8961707
2102012,neu,0.87254811,,
2112012,neg,0.7690897,,
2102012,neg,0.64283028,,
2102012,neu,0.99696278,,
2102012,neg,0.83741339,neu,0.42107388
2102012,neu,0.97100719,,
2112012,neg,0.73621947,,
2142012,neu,0.99105725,,
2172012,neu,0.69817321,neu,0.72665612
2172012,neg,0.98738579,neg,0.63631759
2172012,neu,0.75555899,,
2182012,neu,0.99777405,,
2162012,neu,0.9991689,,
2142012,neu,0.59068896,,
2142012,neu,0.99881382,,
2142012,neu,0.93847116,,
2142012,neu,0.9988019,,
2162012,neu,0.98779403,,
2162012,neu,0.85399707,,
2132012,neu,0.99743998,,
2212012,neu,0.95958167,,
2212012,neu,0.96876855,neu,0.58307112
2212012,pos,0.56806057,neg,0.58525787
2222012,neu,0.9998519,pos,0.5477323
2232012,neu,0.99951164,,
2232012,neu,0.96380475,,
2232012,neu,0.98241308,,
2132012,neu,0.95411339,,
2132012,neu,0.95849601,,
2132012,neu,0.97336692,,
2132012,neu,0.95333437,,
2132012,neu,0.87184024,,
2132012,neu,0.94807201,,
2132012,neu,0.97745981,neg,0.67178133
2232012,neu,0.99993184,,
2232012,neu,0.99455509,neu,0.8919784
2232012,neu,0.99938987,neu,0.8919784
2232012,neu,0.99920442,neu,0.8919784
2232012,pos,0.81033937,pos,0.57880766
2232012,neu,0.99819798,neu,0.93443909
2242012,neg,0.69151221,,
2242012,neu,0.99913314,neu,0.8919784
2242012,neu,0.99976003,,
2272012,neu,0.93421726,neu,0.65219004
2272012,neu,0.98834822,,
2282012,pos,0.47284934,pos,0.53182567
2282012,neu,0.98783422,neu,0.64905936
