date,label,confidence,entity-label,entity-confidence
1042012,neg,0.97668881,neg,0.61821553
1062012,pos,0.91953905,neg,0.73824758
1102012,neg,0.87075713,neg,0.59765741
1102012,pos,0.8231164,neu,0.56082856
1102012,neg,0.61674883,neg,0.54437496
2062012,pos,0.99981617,pos,0.48723006
2082012,neg,0.84609667,,
2152012,neu,0.99817187,neu,0.85394723
2152012,pos,0.37094273,neg,0.63225169
2162012,neg,0.79328524,neg,0.38368681
2212012,pos,0.8481855,neu,0.63434917
2222012,neg,0.5220214,neg,0.59698294
2222012,neg,0.56208642,neg,0.62102397
2222012,pos,0.65893097,neg,0.54427281
2222012,neg,0.5405067,neg,0.60324951
2242012,neu,0.89110742,neg,0.79352952
2272012,neg,0.46835283,neg,0.53514748
2292012,neg,0.79612576,neg,0.92643816
2292012,neg,0.38974033,neg,0.69720406
2282012,pos,0.93496646,pos,0.41080085
2282012,pos,0.79236819,neu,0.61459016
2282012,pos,0.97418794,neu,0.46576475
2282012,pos,0.84543662,neu,0.52635967
3022012,pos,0.677931,neu,0.67898965
3022012,neu,0.46787248,neu,0.93612074
3022012,neu,0.49300756,neu,0.91632203
3062012,neu,0.63207274,pos,0.43701272
2312012,pos,0.677931,neu,0.67898965
2312012,neu,0.46787248,neu,0.93612074
2312012,neu,0.49300756,neu,0.91632203
3162012,neg,0.83519994,neg,0.79340981
3232012,neu,0.5077522,pos,0.53894203
3262012,pos,0.68539095,neu,0.77482294
3262012,neu,0.95569169,neg,0.90357394
3282012,neu,0.77291395,pos,0.51879432
3282012,pos,0.69955887,,
3282012,pos,0.55183622,,
3282012,pos,0.88467598,pos,0.4893991
3302012,neu,0.96974294,neu,0.73991055
4022012,neg,0.88082338,neg,0.6238716
4022012,pos,0.57355958,neg,0.71149503
4032012,neu,0.55237426,neu,0.82043379
4032012,neg,0.70016312,neg,0.58224341
4112012,pos,0.49391146,neg,0.57704719
4112012,pos,0.5598771,neg,0.39433578
4092012,pos,0.74831823,neu,0.36732427
4092012,pos,0.47631578,neu,0.60124033
4122012,pos,0.72514348,neg,0.45670085
4122012,pos,0.62427957,neg,0.50283024
4122012,pos,0.50668089,neg,0.61203958
4102012,neu,0.83219316,neu,0.69974739
4102012,neu,0.46422747,neu,0.56872438
4172012,neu,0.8703121,,
4192012,neg,0.84808794,neg,0.88612795
4192012,neg,0.85255778,neg,0.88612795
4202012,neu,0.76700939,neu,0.50863172
4202012,neu,0.88067608,neu,0.50500851
4202012,neu,0.99116436,neu,0.42443808
4202012,neu,0.99378224,neu,0.88658328
4202012,neu,0.99145407,neu,0.86692881
4202012,neu,0.92974965,neg,0.43946806
4202012,neu,0.98571922,neu,0.63347511
4202012,neu,0.99652681,pos,0.35567177
4202012,neg,0.8995135,neg,0.8836148
4232012,pos,0.4650898,pos,0.68520774
4232012,pos,0.69315717,pos,0.5603794
4232012,pos,0.90244502,pos,0.49518965
