date,price
11/12/12,226.470001
11/13/12,226.600006
11/14/12,222.949997
11/15/12,220.600006
11/16/12,225.229996
11/19/12,229.710007
11/20/12,233.779999
11/21/12,238.029999
11/23/12,239.880005
11/26/12,243.619995
11/27/12,243.399994
11/28/12,247.110001
11/29/12,251.270004
11/30/12,252.050003
12/03/12,250.330002
12/04/12,252.490005
12/05/12,253.960007
12/06/12,253.369995
12/07/12,253.270004
12/10/12,247.770004
12/11/12,250.690002
12/12/12,251.759995
12/13/12,251.25
12/14/12,249.190002
12/17/12,253.860001
12/18/12,260.399994
12/19/12,257.98999
12/20/12,261.5
12/21/12,256.920013
12/24/12,258.619995
12/26/12,248.630005
12/27/12,248.309998
12/28/12,245.179993
12/31/12,250.869995
01/02/13,257.309998
01/03/13,258.480011
01/04/13,259.149994
01/07/13,268.459991
01/08/13,266.380005
01/09/13,266.350006
01/10/13,265.339996
01/11/13,267.940002
01/14/13,272.730011
01/15/13,271.899994
01/16/13,268.929993
01/17/13,270.480011
01/18/13,272.119995
01/22/13,270.190002
01/23/13,268.109985
01/24/13,273.459991
01/25/13,283.98999
01/28/13,276.040009
01/29/13,260.350006
01/30/13,272.76001
01/31/13,265.5
02/01/13,265
02/04/13,259.980011
02/05/13,266.890015
02/06/13,262.220001
02/07/13,260.230011
02/08/13,261.950012
02/11/13,257.209991
02/12/13,258.700012
02/13/13,269.470001
02/14/13,269.23999
02/15/13,265.089996
02/19/13,269.75
02/20/13,266.410004
02/21/13,265.940002
02/22/13,265.420013
02/25/13,259.869995
02/26/13,259.359985
02/27/13,263.25
02/28/13,264.269989
03/01/13,265.73999
03/04/13,273.109985
03/05/13,275.589996
03/06/13,273.790009
03/07/13,273.880005
03/08/13,274.190002
03/11/13,271.23999
03/12/13,274.130005
03/13/13,275.100006
03/14/13,265.73999
03/15/13,261.820007
03/18/13,257.890015
03/19/13,256.410004
03/20/13,257.279999
03/21/13,253.389999
03/22/13,257.75
03/25/13,256.019989
03/26/13,260.309998
03/27/13,265.299988
03/28/13,266.48999
04/01/13,261.609985
04/02/13,263.320007
04/03/13,259.029999
04/04/13,259.079987
04/05/13,255.479996
04/08/13,258.950012
04/09/13,261.140015
04/10/13,264.769989
04/11/13,269.850006
04/12/13,272.869995
04/15/13,267.720001
04/16/13,272.339996
04/17/13,267.399994
04/18/13,259.420013
04/19/13,260.320007
04/22/13,263.549988
04/23/13,268.899994
04/24/13,268.779999
04/25/13,274.700012
04/26/13,254.809998
04/29/13,249.740005
04/30/13,253.809998
05/01/13,248.229996
05/02/13,252.550003
05/03/13,258.049988
05/06/13,255.720001
05/07/13,257.730011
05/08/13,258.679993
05/09/13,260.160004
05/10/13,263.630005
05/13/13,264.51001
05/14/13,268.329987
05/15/13,266.559998
05/16/13,264.119995
05/17/13,269.899994
05/20/13,267.630005
05/21/13,268.859985
05/22/13,262.959991
05/23/13,261.799988
05/24/13,261.73999
05/28/13,267.290009
05/29/13,265.529999
05/30/13,266.829987
05/31/13,269.200012
06/03/13,266.880005
06/04/13,265.700012
06/05/13,267.170013
06/06/13,267.829987
06/07/13,276.869995
06/10/13,281.070007
06/11/13,274.779999
06/12/13,271.670013
06/13/13,275.790009
06/14/13,273.98999
06/17/13,278.059998
06/18/13,281.76001
06/19/13,278.160004
06/20/13,273.440002
06/21/13,273.359985
06/24/13,270.609985
06/25/13,272.089996
06/26/13,277.570007
06/27/13,277.549988
06/28/13,277.690002
07/01/13,282.100006
07/02/13,283.730011
07/03/13,284.029999
07/05/13,285.880005
07/08/13,290.589996
07/09/13,291.529999
07/10/13,292.329987
07/11/13,299.660004
07/12/13,307.549988
07/15/13,306.570007
07/16/13,306.869995
07/17/13,308.690002
07/18/13,304.109985
07/19/13,305.230011
07/22/13,303.480011
07/23/13,301.059998
07/24/13,298.940002
07/25/13,303.399994
07/26/13,312.01001
07/29/13,306.100006
07/30/13,302.410004
07/31/13,301.220001
08/01/13,305.570007
08/02/13,304.209991
08/05/13,300.98999
08/06/13,300.75
08/07/13,296.910004
08/08/13,295.73999
08/09/13,297.26001
08/12/13,296.690002
08/13/13,293.970001
08/14/13,291.339996
08/15/13,286.470001
08/16/13,284.820007
08/19/13,285.570007
08/20/13,287.089996
08/21/13,284.570007
08/22/13,289.730011
08/23/13,290.01001
08/26/13,286.209991
08/27/13,280.929993
08/28/13,281.579987
08/29/13,283.980011
08/30/13,280.980011
09/03/13,288.799988
09/04/13,293.640015
09/05/13,294.100006
09/06/13,295.859985
09/09/13,299.709991
09/10/13,300.359985
09/11/13,299.640015
09/12/13,298.859985
09/13/13,297.920013
09/16/13,296.059998
09/17/13,304.170013
09/18/13,312.029999
09/19/13,312.059998
09/20/13,316.339996
09/23/13,311.48999
09/24/13,314.130005
09/25/13,312.649994
09/26/13,318.119995
09/27/13,316.01001
09/30/13,312.640015
10/01/13,320.950012
10/02/13,320.51001
10/03/13,314.76001
10/04/13,319.040009
10/07/13,310.029999
10/08/13,303.230011
10/09/13,298.230011
10/10/13,305.170013
10/11/13,310.890015
10/14/13,310.700012
10/15/13,306.399994
10/16/13,310.48999
10/17/13,310.769989
10/18/13,328.929993
10/21/13,326.440002
10/22/13,332.540009
10/23/13,326.76001
10/24/13,332.209991
10/25/13,363.390015
10/28/13,358.160004
10/29/13,362.700012
10/30/13,361.079987
10/31/13,364.029999
11/01/13,359
11/04/13,358.73999
11/05/13,358.890015
11/06/13,356.179993
11/07/13,343.559998
11/08/13,350.309998
11/11/13,354.380005
11/12/13,349.529999
11/13/13,356.220001
11/14/13,367.399994
11/15/13,369.170013
11/18/13,366.179993
11/19/13,364.940002
11/20/13,362.570007
11/21/13,368.920013
11/22/13,372.309998
11/25/13,376.640015
11/26/13,381.369995
11/27/13,386.709991
