date,price
11/12/12,20.07
11/13/12,19.860001
11/14/12,22.360001
11/15/12,22.17
11/16/12,23.559999
11/19/12,22.92
11/20/12,23.1
11/21/12,24.32
11/23/12,24
11/26/12,25.940001
11/27/12,26.15
11/28/12,26.360001
11/29/12,27.32
11/30/12,28
12/03/12,27.040001
12/04/12,27.459999
12/05/12,27.709999
12/06/12,26.969999
12/07/12,27.49
12/10/12,27.84
12/11/12,27.98
12/12/12,27.58
12/13/12,28.24
12/14/12,26.809999
12/17/12,26.75
12/18/12,27.709999
12/19/12,27.41
12/20/12,27.360001
12/21/12,26.26
12/24/12,26.93
12/26/12,26.51
12/27/12,26.049999
12/28/12,25.91
12/31/12,26.620001
01/02/13,28
01/03/13,27.77
01/04/13,28.76
01/07/13,29.42
01/08/13,29.059999
01/09/13,30.59
01/10/13,31.299999
01/11/13,31.719999
01/14/13,30.950001
01/15/13,30.1
01/16/13,29.85
01/17/13,30.139999
01/18/13,29.66
01/22/13,30.73
01/23/13,30.82
01/24/13,31.08
01/25/13,31.540001
01/28/13,32.470001
01/29/13,30.790001
01/30/13,31.24
01/31/13,30.98
02/01/13,29.73
02/04/13,28.110001
02/05/13,28.639999
02/06/13,29.049999
02/07/13,28.65
02/08/13,28.549999
02/11/13,28.26
02/12/13,27.370001
02/13/13,27.91
02/14/13,28.5
02/15/13,28.32
02/19/13,28.93
02/20/13,28.459999
02/21/13,27.280001
02/22/13,27.129999
02/25/13,27.27
02/26/13,27.389999
02/27/13,26.870001
02/28/13,27.25
03/01/13,27.780001
03/04/13,27.719999
03/05/13,27.52
03/06/13,27.450001
03/07/13,28.58
03/08/13,27.959999
03/11/13,28.139999
03/12/13,27.83
03/13/13,27.08
03/14/13,27.040001
03/15/13,26.65
03/18/13,26.49
03/19/13,26.549999
03/20/13,25.860001
03/21/13,25.74
03/22/13,25.73
03/25/13,25.129999
03/26/13,25.209999
03/27/13,26.09
03/28/13,25.58
04/01/13,25.530001
04/02/13,25.42
04/03/13,26.25
04/04/13,27.07
04/05/13,27.389999
04/08/13,26.85
04/09/13,26.59
04/10/13,27.57
04/11/13,28.02
04/12/13,27.4
04/15/13,26.52
04/16/13,26.92
04/17/13,26.629999
04/18/13,25.690001
04/19/13,25.73
04/22/13,25.969999
04/23/13,25.98
04/24/13,26.110001
04/25/13,26.139999
04/26/13,26.85
04/29/13,26.98
04/30/13,27.77
05/01/13,27.43
05/02/13,28.969999
05/03/13,28.309999
05/06/13,27.57
05/07/13,26.889999
05/08/13,27.120001
05/09/13,27.040001
05/10/13,26.68
05/13/13,26.82
05/14/13,27.07
05/15/13,26.6
05/16/13,26.129999
05/17/13,26.25
05/20/13,25.76
05/21/13,25.66
05/22/13,25.16
05/23/13,25.059999
05/24/13,24.309999
05/28/13,24.1
05/29/13,23.32
05/30/13,24.549999
05/31/13,24.35
06/03/13,23.85
06/04/13,23.52
06/05/13,22.9
06/06/13,22.969999
06/07/13,23.290001
06/10/13,24.33
06/11/13,24.030001
06/12/13,23.77
06/13/13,23.73
06/14/13,23.629999
06/17/13,24.02
06/18/13,24.209999
06/19/13,24.309999
06/20/13,23.9
06/21/13,24.530001
06/24/13,23.940001
06/25/13,24.25
06/26/13,24.16
06/27/13,24.66
06/28/13,24.879999
07/01/13,24.809999
07/02/13,24.41
07/03/13,24.52
07/05/13,24.370001
07/08/13,24.709999
07/09/13,25.48
07/10/13,25.799999
07/11/13,25.809999
07/12/13,25.91
07/15/13,26.280001
07/16/13,26.32
07/17/13,26.65
07/18/13,26.18
07/19/13,25.879999
07/22/13,26.049999
07/23/13,26.129999
07/24/13,26.51
07/25/13,34.360001
07/26/13,34.009998
07/29/13,35.43
07/30/13,37.630001
07/31/13,36.799999
08/01/13,37.490002
08/02/13,38.049999
08/05/13,39.189999
08/06/13,38.549999
08/07/13,38.869999
08/08/13,38.540001
08/09/13,38.5
08/12/13,38.220001
08/13/13,37.02
08/14/13,36.650002
08/15/13,36.560001
08/16/13,37.080002
08/19/13,37.810001
08/20/13,38.41
08/21/13,38.32
08/22/13,38.549999
08/23/13,40.549999
08/26/13,41.34
08/27/13,39.639999
08/28/13,40.549999
08/29/13,41.279999
08/30/13,41.290001
09/03/13,41.869999
09/04/13,41.779999
09/05/13,42.66
09/06/13,43.950001
09/09/13,44.040001
09/10/13,43.599998
09/11/13,45.040001
09/12/13,44.75
09/13/13,44.310001
09/16/13,42.509998
09/17/13,45.07
09/18/13,45.23
09/19/13,45.98
09/20/13,47.490002
09/23/13,47.189999
09/24/13,48.450001
09/25/13,49.459999
09/26/13,50.389999
09/27/13,51.240002
09/30/13,50.23
10/01/13,50.419998
10/02/13,50.279999
10/03/13,49.18
10/04/13,51.040001
10/07/13,50.52
10/08/13,47.139999
10/09/13,46.77
10/10/13,49.049999
10/11/13,49.110001
10/14/13,49.509998
10/15/13,49.5
10/16/13,51.139999
10/17/13,52.209999
10/18/13,54.220001
10/21/13,53.849998
10/22/13,52.68
10/23/13,51.900002
10/24/13,52.450001
10/25/13,51.950001
10/28/13,50.23
10/29/13,49.400002
10/30/13,49.009998
10/31/13,50.209999
11/01/13,49.75
11/04/13,48.220001
11/05/13,50.110001
11/06/13,49.119999
11/07/13,47.560001
11/08/13,47.529999
11/11/13,46.200001
11/12/13,46.610001
11/13/13,48.709999
11/14/13,48.990002
11/15/13,49.009998
11/18/13,45.830002
11/19/13,46.360001
11/20/13,46.43
11/21/13,46.700001
11/22/13,46.23
11/25/13,44.82
11/26/13,45.889999
11/27/13,46.490002
11/29/13,47.009998
12/02/13,47.060001
12/03/13,46.73
12/04/13,48.619999
12/05/13,48.34
12/06/13,47.939999
12/09/13,48.84
12/10/13,50.25
12/11/13,49.380001
12/12/13,51.830002
12/13/13,53.32
12/16/13,53.810001
12/17/13,54.860001
12/18/13,55.57
12/19/13,55.049999
12/20/13,55.119999
12/23/13,57.77
12/24/13,57.959999
12/26/13,57.73
12/27/13,55.439999
12/30/13,53.709999
12/31/13,54.650002
01/02/14,54.709999
01/03/14,54.560001
01/06/14,57.200001
