date,price
11/12/12,330.798462
11/13/12,327.395599
11/14/12,324.166595
11/15/12,321.538696
11/16/12,321.498962
11/19/12,331.946014
11/20/12,332.820313
11/21/12,330.783569
11/23/12,331.826782
11/26/12,328.438812
11/27/12,333.187927
11/28/12,339.626068
11/29/12,343.709503
11/30/12,346.928558
12/03/12,345.378632
12/04/12,343.282288
12/05/12,341.687653
12/06/12,343.33197
12/07/12,339.894318
12/10/12,340.495392
12/11/12,346.188385
12/12/12,346.526184
12/13/12,349.079559
12/14/12,348.711975
12/17/12,358.061157
12/18/12,358.205231
12/19/12,357.728333
12/20/12,358.846039
12/21/12,355.502808
12/24/12,352.457611
12/26/12,352.144653
12/27/12,350.862976
12/28/12,347.743256
12/31/12,351.404449
01/02/13,359.288177
01/03/13,359.496826
01/04/13,366.600616
01/07/13,365.001007
01/08/13,364.280701
01/09/13,366.67514
01/10/13,368.344269
01/11/13,367.604095
01/14/13,359.288177
01/15/13,360.122742
01/16/13,355.28421
01/17/13,353.361725
01/18/13,349.978729
01/22/13,349.164032
01/23/13,368.354218
01/24/13,374.668152
01/25/13,374.399902
01/28/13,372.939392
01/29/13,374.404846
01/30/13,374.47937
01/31/13,375.403351
02/01/13,385.294037
02/04/13,377.057617
02/05/13,380.395905
02/06/13,382.596588
02/07/13,384.474365
02/08/13,390.147461
02/11/13,388.682007
02/12/13,387.827545
02/13/13,388.900574
02/14/13,391.364563
02/15/13,393.883179
02/19/13,400.818054
02/20/13,393.669556
02/21/13,395.194641
02/22/13,397.271149
02/25/13,392.830017
02/26/13,392.512085
02/27/13,397.305908
02/28/13,398.011322
03/01/13,400.490204
03/04/13,408.095734
03/05/13,416.590485
03/06/13,413.003815
03/07/13,413.609863
03/08/13,413.073364
03/11/13,414.712708
03/12/13,411.130981
03/13/13,409.988434
03/14/13,408.115601
03/15/13,404.518982
03/18/13,401.285034
03/19/13,403.038635
03/20/13,404.722656
03/21/13,403.00882
03/22/13,402.536896
03/25/13,402.204041
03/26/13,403.585083
03/27/13,398.736603
03/28/13,394.528961
04/01/13,398.006348
04/02/13,403.893066
04/03/13,400.495178
04/04/13,394.966125
04/05/13,388.994965
04/08/13,384.921448
04/09/13,386.312408
04/10/13,392.536926
04/11/13,392.641235
04/12/13,392.472351
04/15/13,388.438568
04/16/13,394.121613
04/17/13,388.751556
04/18/13,380.480347
04/19/13,397.350616
04/22/13,397.469849
04/23/13,401.339661
04/24/13,404.096741
04/25/13,401.935791
04/26/13,398.120605
04/29/13,406.883606
04/30/13,409.620819
05/01/13,407.564178
05/02/13,412.124542
05/03/13,420.127472
05/06/13,427.991333
05/07/13,425.845276
05/08/13,433.99231
05/09/13,432.924255
05/10/13,437.270966
05/13/13,435.929688
05/14/13,440.683777
05/15/13,454.985748
05/16/13,449.014587
05/17/13,451.652435
05/20/13,451.329529
05/21/13,450.554565
05/22/13,441.836273
05/23/13,438.542694
05/24/13,433.838287
05/28/13,437.787628
05/29/13,431.349487
05/30/13,432.566559
05/31/13,432.795074
06/03/13,431.011688
06/04/13,426.774231
06/05/13,427.072296
06/06/13,429.526337
06/07/13,437.022583
06/10/13,442.233704
06/11/13,437.062317
06/12/13,433.172638
06/13/13,435.666412
06/14/13,434.692749
06/17/13,440.261536
06/18/13,447.400085
06/19/13,447.429901
06/20/13,439.511414
06/21/13,437.618713
06/24/13,432.084717
06/25/13,430.3013
06/26/13,434.002228
06/27/13,435.701172
06/28/13,437.340515
07/01/13,441.071259
07/02/13,438.30426
07/03/13,440.350952
07/05/13,443.858124
07/08/13,449.620636
07/09/13,449.69516
07/10/13,450.067749
07/11/13,457.146698
07/12/13,458.517792
07/15/13,459.35733
07/16/13,456.83374
07/17/13,456.307159
07/18/13,452.397583
07/19/13,445.403076
07/22/13,452.407532
07/23/13,448.979828
07/24/13,448.532715
07/25/13,440.981842
07/26/13,439.814423
07/29/13,438.284393
07/30/13,442.581421
07/31/13,441.006683
08/01/13,449.188477
08/02/13,450.355865
08/05/13,449.575928
08/06/13,445.388184
08/07/13,442.447296
08/08/13,443.445801
08/09/13,442.328094
08/12/13,439.893921
08/13/13,437.777679
08/14/13,432.094635
08/15/13,427.052429
08/16/13,425.68631
08/19/13,430.028076
08/20/13,429.913818
08/21/13,431.856201
08/22/13,434.032043
08/23/13,432.293335
08/26/13,430.395691
08/27/13,422.328156
08/28/13,421.533325
08/29/13,424.951111
08/30/13,420.713654
09/03/13,427.410095
09/04/13,432.998749
09/05/13,436.938141
09/06/13,436.948059
09/09/13,441.155701
09/10/13,441.463715
09/11/13,445.199402
09/12/13,443.644531
09/13/13,441.662415
09/16/13,441.011658
09/17/13,440.191986
09/18/13,448.741364
09/19/13,446.292297
09/20/13,448.637054
09/23/13,440.385712
09/24/13,440.554626
09/25/13,435.78067
09/26/13,436.24762
09/27/13,435.363373
09/30/13,435.124939
10/01/13,440.634094
10/02/13,441.125916
10/03/13,435.214355
10/04/13,433.356445
10/07/13,430.072784
10/08/13,424.076782
10/09/13,425.164703
10/10/13,431.314728
10/11/13,433.177612
10/14/13,435.224274
10/15/13,438.155212
10/16/13,446.113464
10/17/13,441.523315
10/18/13,502.437134
10/21/13,498.408325
10/22/13,500.246368
10/23/13,512.372498
10/24/13,509.461456
10/25/13,504.319885
10/28/13,504.22052
10/29/13,514.771912
10/30/13,511.880707
10/31/13,511.960205
